0.001058, 1.000000, 1.000000, 0.000000
0.001016, 0.960000, 0.995670, 0.000209
0.001030, 0.921600, 0.995842, 0.000389
0.001051, 0.884736, 0.995785, 0.000568
0.001072, 0.849347, 0.995701, 0.000751
0.001093, 0.815373, 0.995615, 0.000938
0.001115, 0.782758, 0.995527, 0.001128
0.001138, 0.751447, 0.995437, 0.001323
0.001160, 0.721390, 0.995346, 0.001521
0.001184, 0.692534, 0.995253, 0.001723
0.001207, 0.664833, 0.995158, 0.001929
0.001231, 0.638239, 0.995061, 0.002139
0.001256, 0.612710, 0.994963, 0.002353
0.001281, 0.588201, 0.994862, 0.002572
0.001307, 0.564673, 0.994759, 0.002795
0.001333, 0.542086, 0.994654, 0.003022
0.001360, 0.520403, 0.994547, 0.003254
0.001387, 0.499587, 0.994438, 0.003490
0.001415, 0.479603, 0.994327, 0.003732
0.001443, 0.460419, 0.994214, 0.003978
0.001472, 0.442002, 0.994098, 0.004229
0.001501, 0.424322, 0.993980, 0.004484
0.001531, 0.407349, 0.993860, 0.004745
0.001562, 0.391055, 0.993737, 0.005011
0.001593, 0.375413, 0.993611, 0.005283
0.001625, 0.360397, 0.993484, 0.005560
0.001657, 0.345981, 0.993353, 0.005842
0.001690, 0.332142, 0.993220, 0.006130
0.001724, 0.318856, 0.993085, 0.006423
0.001759, 0.306102, 0.992947, 0.006723
0.001794, 0.293858, 0.992806, 0.007028
0.001830, 0.282103, 0.992662, 0.007340
0.001866, 0.270819, 0.992515, 0.007657
0.001904, 0.259986, 0.992365, 0.007981
0.001942, 0.249587, 0.992213, 0.008311
0.001981, 0.239603, 0.992057, 0.008648
0.002020, 0.230019, 0.991898, 0.008992
0.002061, 0.220819, 0.991736, 0.009342
0.002102, 0.211986, 0.991571, 0.009700
0.002144, 0.203506, 0.991402, 0.010064
0.002187, 0.195366, 0.991230, 0.010436
0.002231, 0.187552, 0.991055, 0.010814
0.002275, 0.180049, 0.990876, 0.011201
0.002321, 0.172847, 0.990694, 0.011595
0.002367, 0.165934, 0.990508, 0.011997
0.002414, 0.159296, 0.990318, 0.012407
0.002463, 0.152924, 0.990124, 0.012825
0.002512, 0.146807, 0.989927, 0.013251
0.002562, 0.140935, 0.989725, 0.013686
0.002613, 0.135298, 0.989520, 0.014129
0.002666, 0.129886, 0.989310, 0.014581
0.002719, 0.124690, 0.989096, 0.015042
0.002773, 0.119703, 0.988878, 0.015512
0.002829, 0.114915, 0.988656, 0.015991
0.002885, 0.110318, 0.988429, 0.016480
0.002943, 0.105905, 0.988198, 0.016978
0.003002, 0.101669, 0.987962, 0.017486
0.003062, 0.097602, 0.987721, 0.018005
0.003123, 0.093698, 0.987476, 0.018533
0.003186, 0.089950, 0.987225, 0.019072
0.003250, 0.086352, 0.986970, 0.019622
0.003315, 0.082898, 0.986709, 0.020182
0.003381, 0.079582, 0.986444, 0.020753
0.003448, 0.076399, 0.986172, 0.021336
0.003517, 0.073343, 0.985896, 0.021930
0.003588, 0.070409, 0.985614, 0.022536
0.003659, 0.067593, 0.985326, 0.023154
0.003733, 0.064889, 0.985033, 0.023784
0.003807, 0.062294, 0.984734, 0.024426
0.003883, 0.059802, 0.984429, 0.025081
0.003961, 0.057410, 0.984117, 0.025748
0.004040, 0.055113, 0.983800, 0.026429
0.004121, 0.052909, 0.983476, 0.027123
0.004204, 0.050793, 0.983145, 0.027831
0.004288, 0.048761, 0.982808, 0.028553
0.004373, 0.046810, 0.982465, 0.029289
0.004461, 0.044938, 0.982114, 0.030039
0.004550, 0.043140, 0.981756, 0.030804
0.004641, 0.041415, 0.981392, 0.031584
0.004734, 0.039758, 0.981020, 0.032379
0.004829, 0.038168, 0.980640, 0.033190
